Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return_Percentage
46.51038972359839,47.29258256500431,46.48632078259321,47.01580810546875,93087200,0.0,0.0,
46.881031519316416,47.26129805350868,46.483919662784146,47.09764099121094,76457200,0.0,0.0,0.17405398107508407
47.280550069269914,47.436990847528044,47.1553981811444,47.41292190551758,74106400,0.0,0.0,0.669419757914147
47.27333072634412,48.19030087364577,47.25407630697025,48.15901565551758,103526800,0.0,0.0,1.5736084594971445
48.21196533868645,48.82087213278895,47.949627082913366,48.014610290527344,143072800,0.0,0.0,-0.2998511556448147
47.81725485263282,48.31304789430677,47.69691748446444,48.28416442871094,86781200,0.0,0.0,0.5614002416193253
48.33951681698765,48.37561655440968,47.75948988637607,47.882232666015625,83603200,0.0,0.0,-0.8324297778596668
47.94240680739837,48.16864164743984,47.222791695136095,47.86298370361328,111042800,0.0,0.0,-0.040200636709253335
47.793189812198506,48.09884775708899,47.656003449072635,47.94962692260742,70146400,0.0,0.0,0.18102343876151838
48.00498056217533,48.464666479597874,47.78837111391305,47.954437255859375,102785600,0.0,0.0,0.010032055639808135
48.02423105441567,48.94842475179713,47.80040533203736,48.88825607299805,115627200,0.0,0.0,1.947304296693786
48.8858413646967,49.13373599910474,48.74143875559536,49.063941955566406,96783200,0.0,0.0,0.35936213864129485
48.816046793708836,49.32387052589748,48.69811487600666,49.22519302368164,77758000,0.0,0.0,0.32865493820546376
49.201133444879666,50.00017531373073,49.07357613137349,49.9351921081543,93292000,0.0,0.0,1.442349010457078
49.90631139584087,50.175865914145554,49.83170281826761,49.858177185058594,70162400,0.0,0.0,-0.1542297522935221
49.77875872271458,50.00258447628887,49.36720328650979,49.40571212768555,74172800,0.0,0.0,-0.9075042107809739
49.3142405564913,49.33830949349858,48.645165238615704,49.169837951660156,74596400,0.0,0.0,-0.47742288465711935
49.193921556670475,49.571782708614194,49.06395879662949,49.24446487426758,88818800,0.0,0.0,0.15177378188797608
48.87141228223476,48.95324081273451,47.92074779049798,48.296199798583984,186139600,0.0,0.0,-1.9256277392895482
50.512811739394635,51.819673714794234,50.3563709669278,50.66684341430664,259309200,0.0,0.0,4.908551036332609
50.50318621319605,51.17948164036415,50.091634467170834,50.337120056152344,127985200,0.0,0.0,-0.6507675156672499
50.755891147076504,50.98453139476291,50.59704495177257,50.96287155151367,83569600,0.0,0.0,1.2431213678162134
49.167437497378444,50.26250822043069,48.97730608225386,50.175865173339844,129772400,0.0,0.0,-1.5442740061817672
49.55010362779061,49.92074101415272,48.334695775640576,48.823265075683594,155054800,0.0,0.0,-2.6957185351632607
48.59222627219422,49.420147926790285,48.55612653183883,48.83290100097656,105358000,0.0,0.0,0.019736339382525614
48.23120986997865,48.53927320150486,47.331088815089856,48.3082275390625,139634400,0.0,0.0,-1.0744261576914549
47.69698564795609,48.04247784005557,46.573539724540076,47.638999938964844,164834800,0.1925,0.0,-1.385328409237352
45.35103537093668,45.77866752422706,44.176851514458534,44.87024688720703,229722400,0.0,0.0,-5.811946210678531
45.0369476380204,45.83181514752156,44.795346078269056,45.58055114746094,146118800,0.0,0.0,1.583018390871449
45.003114655425804,46.327089908451256,44.94271427744869,46.12656021118164,106178800,0.0,0.0,1.1978992135357691
45.88254649978397,46.501045813966996,45.6240310984788,45.92361831665039,132125600,0.0,0.0,-0.4399675449505036
45.16257981774915,46.12173834784947,45.12150799313735,45.662696838378906,131516400,0.0,0.0,-0.5681640250391196
44.33871571362372,44.539245434483384,43.55592539579711,44.234825134277344,154449200,0.0,0.0,-3.126998191007968
44.74944008600103,45.421092110584844,44.62380624580238,45.08285140991211,113459200,0.0,0.0,1.9171010014406908
44.61413942435868,44.86782176822369,44.10436004848497,44.15992736816406,118994400,0.0,0.0,-2.0471731775713042
43.439963446446875,43.618746250598015,42.95917499030657,43.4061393737793,146118800,0.0,0.0,-1.7069502585463692
43.53659834660054,44.00530594101403,43.154867457197255,43.23942947387695,94858800,0.0,0.0,-0.38406986271405374
43.227355556909174,43.63082976531052,42.983339280895706,43.06064987182617,111792800,0.0,0.0,-0.4134642945712086
42.62334273214092,43.33123715283742,42.52187052894611,42.855281829833984,113924800,0.0,0.0,-0.47692740960362245
42.99299459395478,43.30224427949755,42.683744908412024,43.07755661010742,84873600,0.0,0.0,0.5186636764075603
42.57744665911118,43.002667811764844,42.27786305052082,42.29719161987305,108174400,0.0,0.0,-1.811534942191395
42.42524082320528,42.985754596910716,41.137503901730916,41.86955642700195,161584400,0.0,0.0,-1.0110250267069132
42.38658401496673,43.44721485950364,42.16431099205886,43.401309967041016,123872000,0.0,0.0,3.65839447740417
44.52233583212056,44.693874564306654,43.763707070102754,44.10194778442383,119093600,0.0,0.0,1.6143241250434093
44.23241207165557,44.80983962680432,44.00772071388628,44.74943923950195,90105200,0.0,0.0,1.468169746704051
45.06110694244085,46.36817230492668,44.88232414221772,45.94053649902344,122737600,0.0,0.0,2.6617032073779745
46.34159561492287,47.20169659688586,46.29569072770339,46.52762985229492,104883600,0.0,0.0,1.2779418744575777
47.078475620060594,47.35390122461946,46.77405901077349,47.0663948059082,107731600,0.0,0.0,1.1579462683219077
46.858617392306805,47.34665352957641,46.723321121352114,46.916603088378906,73012800,0.0,0.0,-0.31825619562960705
47.03982587835779,47.54477228494102,46.774066357994364,46.906944274902344,86698400,0.0,0.0,-0.020587196942556396
46.27877016239877,46.77163562268419,45.97676827369419,46.56627655029297,75046000,0.0,0.0,-0.726262880423123
